id,nazwa,cena,skladniki,url
10,Pharmaceris H H-Stimupurin,62,"Aqua (Water), Sodium Myreth Sulfate, Cocamidopropyl Betaine, Glycerin, Acrylates Copolymer, Panthenol, Betaine, PEG-7 Glyceryl Cocoate, Coco-Glucoside, Parfum (Fragrance), Hydroxyacetophenone, Glycol Distearate, Polyquaternium-10, Laureth-2, PEG/PPG-120/10 Trimethylolpropane Trioleate, Guar Hydroxypropyltrimonium Chloride, Sodium Cocoyl Glutamate, Caffeine, Sodium Carbonate, Maltodextrin, Dicaprylyl Ether, Ethylhexylglycerin, Lauryl Alcohol, Glyceryl Oleate, Glyceryl Stearate, Hydroxyethylcellulose, Disodium EDTA, Citric Acid, Xanthan Gum, Glyceryl Behenate, Urea, Pentylene Glycol, Disodium Phosphate, Pyridoxine HCl, Niacinamide, Polyglyceryl-3 Methylglucose Distearate, Hydrolyzed Yeast Protein, Allantoin, Threonine, Cholesterol, Biotin, Sodium Chloride, Potassium Chloride, Potassium Phosphate, SH-Polypeptide-32, Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Potassium Sorbate.",https://www.hebe.pl/pharmaceris-specjalistyczny-szampon-stymulujacy-wzrost-wlosow-pobudza-odrastanie-wlosow-i-ich-zageszczenie-250-ml-000000000000257870.html
11,Dermz Healpsorin Shampoo,64,"Aqua, Cocamidopropyl Betaine, Sodium Cocomphoacetate, Acrylates/Beheneth-25 Methacrylate Copolymer, Urea, Polysorbate-20, Salicylic Acid, Sodium Caproyl/Lauroyl Lactylate, Triethyl Citrate,Parfum, Citrus Aurantium Amara Flower Oil, Symphytum Officinale Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Pogostemon Cablin Oil, Cyanocobalamin, Limonene, Linalool.",https://www.hebe.pl/dermz-szampon-na-luszczyce-i-lojotokowe-zapalenie-skory-500-ml-000000000000447718.html
12,Nadeshiko,34,"Aqua, Disodium Laureth Sulfosuccinate, Coco-Glucoside, Propanediol, Cocamidopropyl Betaine, Glycerin, Xylitylglucoside, Molasses, Anhydroxylitol, Maltitol, Xylitol, Laurdimonium Hydroxypropyl Hydrolyzed Keratin, Panthenol, Oryza Sativa Lees Extract,  sr-Spider Polypeptide-1, Pelvetia Canaliculata Extract, Camellia Japonica Seed Oil, Pseudozyma Epicola/Argania Spinosa Kernel Oil/Camellia Japonica Seed Oil/Camellia Sinensis Seed Oil/Sunflower Seed Oil/Sweet Almond Oil Ferment Extract Filtrate, Lactobacillus/Rice Ferment Filtrate, Leuconostoc/Radish Root Ferment Filtrate, Polyquaternium-10, 1,2-Hexanediol, Glyceryl Caprylate, Caprylyl Glycol, Citric Acid, Guar Hydroxypropyltrimonium Chloride, Sodium Phytate, Sodium Chloride, Sodium Hydroxide , Triethyl Citrate, Benzoic Acid, Sodium Benzoate, Phenoxyethanol, Ethylhexylglycerin, Parfum.",https://www.hebe.pl/nadeshiko-nawilzajacy-szampon-do-wlosow-400-ml-000000000000419435.html
13,Pharmaceris H H-Sebopurin,52,"Wyciąg z łopianu – skutecznie reguluje florę bakteryjną oraz nadmierne przetłuszczanie się włosów. Posiada właściwości przeciwbakteryjne.  Wyciąg z biotyny – utrzymuje prawidłowy stan skóry, hamuje łojotokowe zapalenie skóry oraz redukuje nadmierną produkcję łojotoku. Wzmacnia cebulki włosów, a włosy odzyskują siłę i blask. Znacznie poprawia kondycję włosów ich gęstość i elastyczność.  Witamina B3 – zmniejsza nadmierną produkcję sebum. Przyspiesza proces regeneracji skóry i włosów uszkodzonej działaniem promieni UV.  Piroktonian olaminy – przywraca równowagę mikroflory naskórka, niwelując łuszczenie się skóry zarówno nieowłosionej jak i owłosionej (łupież), zapobiegając nawrotom dolegliwości.  Sole cynku – wykazują działanie kojące, łagodzą podrażnienia i świąd skóry głowy.",https://www.hebe.pl/pharmaceris-specjalistyczny-szampon-normalizujacy-do-skory-lojotokowej-sklonnej-do-podraznien-250-ml-000000000000225434.html
14,Pantene Pro-V Aqua Light,18,"Aqua, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Parfum, Citric Acid, Sodium Benzoate, Cocamide MEA, Sodium Citrate, Sodium Salicylate, Sodium Hydroxide, Panthenol, Tetrasodium EDTA, Guar Hydroxypropyltrimonium Chloride, Hexyl Cinnamal, Histidine",https://www.hebe.pl/pantene-szampon-do-wlosow-przetluszczajacy-sie-400ml-000000000000238929.html
15,Yolyn WOW,24,"Aqua (Water), Sodium Coco-Sulfate, Cocamidopropyl Betaine, Decyl Glucoside, Sodium Chloride, Glycerin, Limonene, Sodium Benzoate, Potassium Sorbate, Tetrasodium Glutamate Diacetate, Betaine, Trehalose, Citrus Limon Peel Oil, Citric Acid, Pinene, Tilia Tomentosa Bud Extract.",https://www.hebe.pl/yolyn-szampon-gleboko-oczyszczajacy-do-wlosow-zwiekszajacy-ich-objetosc-450-ml-000000000000582961.html
16,Vichy Dercos DS,93,"AQUA / WATER • SODIUM LAURETH SULFATE • GLYCOL DISTEARATE • COCO-BETAINE • GLYCERIN • DIMETHICONE • SELENIUM SULFIDE • CARBOMER • CI 47005 / ACID YELLOW 3 • CITRIC ACID • MENTHOL • 2-OLEAMIDO-1,3-OCTADECANEDIOL • PPG-5-CETETH-20 • SALICYLIC ACID • SODIUM BENZOATE • SODIUM CHLORIDE • SODIUM HYDROXIDE • TOCOPHERYL ACETATE • PARFUM / FRAGRANCE",https://www.hebe.pl/vichy-szampon-do-wlosow-200ml-000000000000302624.html
17,Pharmaceris H H-Sensitonin,50,"Betaina – doskonale sprawdza się jako substancja nawilżająca, redukuje podrażnienia. Wzmacnia cebulki włosów, a włosy odzyskują siłę i blask. Znacznie poprawia kondycję włosów ich gęstość i elastyczność.  Alantoina – ukierunkowana na kojenie podrażnień, działa łagodząco i regenerująco na naskórek.  Wyciąg z lnu – tworzy na skórze oraz strukturze włosa film, który zmniejsza kontakt z drażniącymi substancjami. Zapobiega dalszym uszkodzeniom włosów oraz sprzyja ich regeneracji.  D-pantenol – ułatwiają rozczesywanie włosów oraz zabezpieczają je przed rozdwajaniem.  Piroktonian olaminy – przywraca równowagę mikroflory naskórka, niwelując łuszczenie się skóry.",https://www.hebe.pl/pharmaceris-micelarny-szampon-kojaco-nawilzajacy-do-skory-wrazliwej-250-ml-000000000000225433.html
18,Barwa Naturalna,7,"Aqua,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Cocamide DEA,PEG-75,Lanolin,Sodium Chloride,Cocamidopropylamine Oxide,Acetum,Prunus Armeniaca Fruit Extat,Prunus Persica Fruit Extract,Pyrus Malus Fruit Extract,Biotin,Panthenol,Linoleic Acid,Linolenic Acid,Tocopheryl Acetate,Retinyl Palmitate,Bioflavonoids,Pyridoxine HCl,Propylene Glycol,Polysorbate 20,Polysorbate 80,Citric Acid,Parfum,Methylchloroisothiazolinone,Methylisothiazolinone",https://www.hebe.pl/barwa-szampon-octowy-do-wlosow-naturalnych-i-matowych-300-ml-000000000000386256.html
19,Alpecin Grey Attack,69,"WODA, LAURYLOSIARCZAN SODU, KOKOAMFOOCTAN SODU, BETAINA KOKAMIDOPROPYLOWA, PANTENOL, KOFEINA, CHLOREK SODU, KOKOGLUKOZYD, OLEINIAN GLICEROLU, DIOLEINIAN METYLOGLUKOZY PEG-120, BŁĘKIT HEKSANOWY NR 2, MENTOL, POLYQUATERNIUM-7, DIHYDROKSYINDOL, KWAS CYTRYNOWY, NIACYNAMID, CYNK PCA, SIARCZAN SODU, FENOKSYETANOL, BENZOESAN SODU, ZAPACH, LIMONEN, CI 19140.",https://www.hebe.pl/alpecin-szampon-do-wlosow-przeciw-siwieniu-200-ml-000000000000531234.html
20,Aromase 5a Juniper Scalp Purifying Liquid Shampoo,89,"Aqua, Lauramidopropyl Betaine, Glycerin, Sodium Chloride, Sodium Lauroyl Sarcosinate, Alcohol Denat., Propylene Glycol, Menthol, Butylene Glycol, Oleth-12, Limonene, Disodium EDTA, Juniperus Communis Fruit Oil, Mentha Piperita Oil, Melaleuca Alternifolia Leaf Oil, Rosmarinus Officinalis Leaf Oil, Eucalyptus Globulus Leaf Oil, Laurus Nobilis Leaf Oil, Citrus Aurantium Bergamia Fruit Oil, Citric Acid, Panthenol, Butyl Avocadate, Polyquaternium-10, Linalool, Alcohol, Glycolic Acid, Citrus Grandis Seed Extract, Sodium Usnate, Glycyrrhetinic Acid, Piroctone Olamine, Aloe Barbadensis Leaf Juice Powder, Niacinamide, Phenoxyethanol, Polygonum Multiflorum Root Extract, Thymus Vulgaris Leaf Extract, Triethanolamine, Serenoa Serrulata Fruit Extract, Zingiber Officinale Root Extract, Sodium Acetate, Isopropyl Alcohol, Tocopherol.",https://www.hebe.pl/aromase-peeling---plyn-oczyszczajacy-do-kazdego-typu-skory-glowy-260-ml-000000000000535620.html
21,Syoss Keratin,19,"Aqua (Water, Eau), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, PEG-7 Glyceryl Cocoate, Hydrolyzed Keratin, Dimethicone, Sodium Benzoate, Parfum (Fragrance), Citric Acid, Amodimethicone, Guar Hydroxypropyltrimonium Chloride, Hydrogenated Castor Oil, Glycol Distearate, Laureth-4, PEG-40 Hydrogenated Castor Oil, PEG-120 Methy Glucose Dioleate, Tetramethyl Acetyloctahydronaphthalenes, Laureth-23, Prunus Armeniaca (Apricot) Kernel Oil, Trideceth-10, Sodium Hydroxide, Linalool, Linalyl Acetate, Propylene Glycol, Acetyl Cedrene, Phenoxyethanol, Sodium Salicylate",https://www.hebe.pl/syoss-szampon-do-wlosow-lamliwych-i-oslabionych-440-ml-000000000000376888.html
22,Head&Shoulders Classic Clean,13,"Aqua, Sodium Laureth Sulfate, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Sodium Citrate, Parfum, Citric Acid, Cocamide MEA, Glycol Distearate, Piroctone Olamine, Dimethiconol, Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Dimethicone, Sodium Benzoate, TEA-Dodecylbenzenesulfonate, Sodium Salicylate, Hexyl Cinnamal, Linalool, Tetrasodium EDTA, Sodium Hydroxide, Trideceth-10, Glycerin, Niacinamide, Panthenol, Tocopheryl Acetate, Acetic Acid, Benzyl Alcohol, Triethylene Glycol, Propylene Glycol, CI 42090, CI 17200",https://www.hebe.pl/headshoulders-przeciwlupiezowy-szampon-do-wlosow-do-codziennego-stosowania-90-ml-000000000000502232.html
23,Yope Grow My Hair,34,"Aqua, Lauryl Glucoside, Coco-Glucoside, Cocamidopropyl Hydroxysultaine, Sodium Lauroyl Sarcosinate, Disodium Cocoamphodiacetate, Disodium Lauryl Sulfosuccinate, Sodium Methyl Oleoyl Taurate, Sorbitol, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Gluconolactone, Arginine, Lactobacillus/Eriodictyon Californicum Ferment Extract, Crambe Abyssinica Seed Oil, Sodium Hyaluronate,  Moringa Oleifera Seed Extract, Linum Usitatissimum (Linseed) Seed Extract, Helianthus Annuus (Sunflower) Seed Oil, Persea Gratissima (Avocado) Oil, Glycerin, Panthenol, Itaconic Acid, Salvia Hispanica Seed Extract, Polyglyceryl-10 Laurate, Leuconostoc/Radish Root Ferment Filtrate, Thiamine HCl, Pyridoxine, Dextran, Acetyl Tetrapeptide-3, Biotin, Cyanocobalamin, Riboflavin, Folic Acid, Bioflavonoids, Trifolium Pratense (Clover) Flower Extract, Ethyl Linoleate, Ethyl Oleate, Xylitol, Ascorbic Acid, Citric Acid, Menadione, Parfum, Sodium Benzoate, Potassium Sorbate, Butylene Glycol, 1,2-Hexanediol, Caprylic Acid, Tocopherol, Tocopheryl Acetate, Glutathione, Citrus Aurantium Peel Oil, Hexyl Cinnamal, Limonene, Linalool, Tetramethyl Acetyloctahydronaphtalenes, Benzyl Salicylate, Coumarin, Benzyl Alcohol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate.",https://www.hebe.pl/yope-szampon-kuracja-do-wlosow-300-ml-000000000000598518.html
24,Yope Hydrate My Hair,31,"Aqua, Coco Glucoside, Sodium Coco-Sulfate, Cocamidopropyl Betaine, Disodium Cocoyl Glutamate, Sorbitol, Decyl Glucoside, Macadamia Seed Oil Polyglyceryl-4 Esters, Glycerin, Levulinic Acid, Ocimum Basilicum (Basil) Flower/Leaf Extract, Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein, Sodium Cocoyl/Olivoyl Hydrolyzed Oat Protein, Potassium Cocoyl Rice Amino Acids, Guar Hydroxypropyltrimonium Chloride, Sodium Levulinate, Saponaria officinalis Root Extract, Fructose, Fructosyl Cocoate/Olivate, Gluconolactone, Parfum, Citric Acid, Salicylic Acid, Lactic Acid, Sodium Benzoate, Potassium Sorbate, Benzyl Alcohol, Benzyl Salicylate, Hexyl Cinnamal, Linalool.",https://www.hebe.pl/yope-nawilzajacy-szampon-do-wlosow-300-ml-000000000000420138.html
25,Mustela Skóra Normalna,48,"INGRDEIENTS: AQUA/WATER/EAU, COCO-GLUCOSIDE, COCAMIDOPROPYL BETAINE, GLYCERIN, GLYCERYL STEARATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, POLYGLYCERYL-3 DISTEARATE, CITRIC ACID, DISODIUM COCOYL GLUTAMATE, BUTYROSPERMUM PARKII (SHEA) BUTTER, SCLEROTIUM GUM, SODIUM BENZOATE, GLYCERYL STEARATE CITRATE, PARFUM (FRAGRANCE), GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, SODIUM COCOYL GLUTAMATE, PERSEA GRATISSIMA (AVOCADO) OIL, POTASSIUM SORBATE.",https://www.hebe.pl/mustela-odzywczy-szampon-ulatwiajacy-rozczesywanie-wlosow-200-ml-000000000000576898.html
26,Tołpa Dermo Hair Wypadanie,35,"Aqua, Cocamidopropyl Betaine, Lauryl Glucoside, Sodium Chloride, Parfum, Peat Extract, Hydrolyzed Adansonia Digitata Seed Extract, Polyquaternium-6, Lactic Acid, Glyceryl Caprylate, Benzyl Alcohol, Triethyl Citrate, Caprylyl Glycol, Methylpropanediol, Benzoic Acid, Sodium Phytate, Sodium Benzoate, Potassium Sorbate, CI 75810.",https://www.hebe.pl/tolpa-szampon-antipollution-przeciw-wypadaniu-wlosow-250-ml-000000000000376740.html
27,Gliss Ultimate Repair,17,"Aqua (Water, Eau),Sodium Laureth Sulfate,Cocamidopropyl Betaine,Sodium Chloride,Dimethicone,Hydrolyzed Keratin,Hydrolyzed Pearl,PEG-7 Glyceryl Cocoate,Parfum (Fragrance),Sodium Benzoate,Amodimethicone,Citric Acid,Guar Hydroxypropyltrimonium Chloride,Hydrogenated Castor Oil,Glycol Distearate,Laureth-4,PEG-120 Methyl Glucose Dioleate,Glycerin,Laureth-23,Trideceth-10,Linalool,Sodium Hydroxide,Limonene,Phenoxyethanol,Propylene Glycol,Sodium Salicylate,Potassium Sorbate,Sorbic Acid,Benzyl Alcohol",https://www.hebe.pl/gliss-kur-szampon-do-wlosow-400ml-000000000000243624.html
28,Pharmaceris H-Purin,49,"Aqua (Water), Sodium Coco-Sulfate, Decyl Glucoside, Cocamidopropyl Betaine, Glycerin, Propylene Glycol, Aloe Barbadensis Leaf Juice, Piroctone Olamine, Allantoin, Ciclopirox Olamine, Epilobium Angustifolium Flower/Leaf/Stem Extract, Polyacrylate Crosspolymer-6, Guar Hydroxypropyltrimonium Chloride, Citric Acid, T-Butyl Alcohol, Sodium Benzoate, Potassium Sorbate, Parfum (Fragrance).",https://www.hebe.pl/pharmaceris-szampon-przeciwlupiezowy-do-wlosow-250-ml-000000000000411471.html
29,Hairy Tale Cosmetics Hairmoji Sweet Cleans,35,"Aqua, Sodium Lauroyl Methyl Isethionate, Coco-Glucoside, Propanediol, Sodium Methyl Cocoyl Taurate, Xanthan Gum, Ocimum Basilicum (Basil) Leaf Extract, Saccharide Isomerate, Biosaccharide Gum-1, Polyglyceryl-6 Caprylate, Polyglyceryl-4 Caprate, Glycerin, Guar Hydroxypropyltrimonium Chloride, Trisodium Ethylenediamine Disuccinate, Benzyl Alcohol, Sodium Benzoate, Dehydroacetic Acid, Citric Acid, Phenoxyethanol, Sodium Citrate, Sodium Chloride, Parfum.",https://www.hebe.pl/hairy-tale-cosmetics-lagodny-szampon-do-wlosow-240-ml-000000000000484850.html
30,Anwen Pomarańcza&Bergamotka,8," INCI/Ingredients: Aqua, Sodium Cocoyl Glutamate, Caprylyl/Capryl Glucoside, Decyl Glucoside, Propanediol, Betaine, Citric Acid, Fructose, Polyglyceryl-4 Laurate/Sebacate, Polyglyceryl-6 Caprate/Caprylate, Xanthan Gum, Epilobium Parviflorum Extract, Saponaria Officinalis Root Extract, Niacinamide, Acacia Conocinna Fruit Extract, Balanites Aegyptiaca Fruit Extract, Gypsophila Paniculata Root Extract, Guar Hydroxypropyltrimonium Chloride, Zinc Gluconate, Sodium Benzoate, Potassium Sorbate, Sorbic Acid, Parfum, Benzyl Alcohol, Hexyl Cinnamal, Limonene, Linalool.",https://www.hebe.pl/anwen-delikatny-szampon-do-normalnej-i-przetluszczajacej-sie-skory-glowy-50-ml-000000000000578049.html
31,Tołpa Dermo Hair Enzyme,27,"Aqua, Lauryl Glucoside, Sodium Coco-Sulfate, Glycerin, Polyglyceryl-4 Caprate, Ribes Nigrum Seed Oil, Orbignya Oleifera Seed Oil, Betaine, Peat Extract, Papain, Bromelain, Lactobacillus/Punica Granatum Fruit Ferment Extract, Leuconostoc/Radish Root Ferment Filtrate, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Sodium Phytate, Lactic Acid, Parfum, Methylpropanediol, Benzoic Acid, Caprylyl Glycol.",https://www.hebe.pl/tolpa-oczyszczajacy-szampon-do-wlosow-300-ml-000000000000424656.html
32,Plantur 39 Phyto-Caffeine,54,"WODA, LAURYLOSIARCZAN SODU, BETAINA KOKAMIDOPROPYLOWA, GLICERYNA, CHLOREK SODU, KOFEINA, PANTENOL, GLIKOL PROPYLENOWY, GLUKOZYD KOKOSOWY, OLEINIAN GLICEROLU, POLYQUATERNIUM-7, CYTRYNIAN SODU, HYDROLIZOWANE BIAŁKO PSZENICY, KWAS CYTRYNOWY, POLYQUATERNIUM-10, EKSTRAKT Z LIŚCI KAMELII CHIŃSKIEJ, CYNK PCA, NIACYNAMID, SORBINIAN POTASU, BENZOESAN SODU, FENOKSYETANOL, AROMAT, HEKSYL CYNAMAL, LIMONEN, LINALOOL, CI 47005, CI 42090",https://www.hebe.pl/plantur-szampon-do-wlosow-farbowanych-i-zniszczonych-250-ml-000000000000531235.html
33,Ziaja med Kuracja Dermatologiczna,16,"Aqua (Water), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Undecylenamidopropyl Betaine, Glycerin, Urea, Piroctone Olamine, Guar Hydroxypropyltrimonium Chloride, Allantoin, Ceramide NP (3), Ceramide AP (6II), Ceramide EOP (1), Phytosphingosine, Cholesterol, Sodium Lauroyl Lactylate, Carbomer, Xanthan Gum, Sodium Chloride, Sodium Benzoate, Lactic Acid.",https://www.hebe.pl/ziaja-med-oczyszczajacy-szampon-do-wrazliwej-skory-glowy-i-karku-300-ml-000000000000387538.html
34,Vichy Dercos DS,93,"AQUA / WATER • SODIUM LAURETH SULFATE • GLYCOL DISTEARATE • DIMETHICONE • COCO-BETAINE • GLYCERIN • SELENIUM SULFIDE • CARBOMER • CI 47005 / ACID YELLOW 3 • CITRIC ACID • MENTHOL • 2-OLEAMIDO-1,3-OCTADECANEDIOL • PPG-5-CETETH-20 • SALICYLIC ACID • SODIUM BENZOATE • SODIUM CHLORIDE • SODIUM HYDROXIDE • TOCOPHERYL ACETATE • PARFUM / FRAGRANCE",https://www.hebe.pl/vichy-szampon-do-wlosow-200ml-000000000000302622.html
