id;nazwa;cena;skladniki;url;typ_wlosow;typ_skory;porowatosc_wlosow
10;Pharmaceris H H-Stimupurin;62;aqua, sodium myreth sulfate, cocamidopropyl betaine, glycerin, acrylates copolymer, panthenol, betaine, peg-7 glyceryl cocoate, coco-glucoside, parfum, hydroxyacetophenone, glycol distearate, polyquaternium-10, laureth-2, peg/ppg-120/10 trimethylolpropane trioleate, guar hydroxypropyltrimonium chloride, sodium cocoyl glutamate, caffeine, sodium carbonate, maltodextrin, dicaprylyl ether, ethylhexylglycerin, lauryl alcohol, glyceryl oleate, glyceryl stearate, hydroxyethylcellulose, disodium edta, citric acid, xanthan gum, glyceryl behenate, urea, pentylene glycol, disodium phosphate, pyridoxine hcl, niacinamide, polyglyceryl-3 methylglucose distearate, hydrolyzed yeast protein, allantoin, threonine, cholesterol, biotin, sodium chloride, potassium chloride, potassium phosphate, sh-polypeptide-32, phenoxyethanol, benzoic acid, dehydroacetic acid, potassium sorbate;https://www.hebe.pl/pharmaceris-specjalistyczny-szampon-stymulujacy-wzrost-wlosow-pobudza-odrastanie-wlosow-i-ich-zageszczenie-250-ml-000000000000257870.html;krecone/falowane;sucha/wrazliwa;srednia
11;Dermz Healpsorin Shampoo;64;aqua, cocamidopropyl betaine, sodium cocomphoacetate, acrylates, urea, polysorbate-20, salicylic acid, sodium caproyl, triethyl citrate, parfum, citrus aurantium amara flower oil, symphytum officinale leaf extract, helianthus annuus seed oil, pogostemon cablin oil, cyanocobalamin, limonene, linalool;https://www.hebe.pl/dermz-szampon-na-luszczyce-i-lojotokowe-zapalenie-skory-500-ml-000000000000447718.html;normalne;tlusta/lupiez;niska
12;Nadeshiko;34;aqua, disodium laureth sulfosuccinate, coco-glucoside, propanediol, cocamidopropyl betaine, glycerin, xylitylglucoside, molasses, anhydroxylitol, maltitol, xylitol, laurdimonium hydroxypropyl hydrolyzed keratin, panthenol, oryza sativa lees extract, sr-spider polypeptide-1, pelvetia canaliculata extract, camellia japonica seed oil, pseudozyma epicola, lactobacillus, leuconostoc, polyquaternium-10, 1,2-hexanediol, glyceryl caprylate, caprylyl glycol, citric acid, guar hydroxypropyltrimonium chloride, sodium phytate, sodium chloride, sodium hydroxide, triethyl citrate, benzoic acid, sodium benzoate, phenoxyethanol, ethylhexylglycerin, parfum;https://www.hebe.pl/nadeshiko-nawilzajacy-szampon-do-wlosow-400-ml-000000000000419435.html;krecone/falowane;normalna;wysoka
13;Pharmaceris H H-Sebopurin;52;wyciąg z łopianu, wyciąg z biotyny, witamina b3, piroktonian olaminy, sole cynku;https://www.hebe.pl/pharmaceris-specjalistyczny-szampon-normalizujacy-do-skory-lojotokowej-sklonnej-do-podraznien-250-ml-000000000000225434.html;normalne;normalna;niska
14;Pantene Pro-V Aqua Light;18;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, sodium xylenesulfonate, parfum, citric acid, sodium benzoate, cocamide mea, sodium citrate, sodium salicylate, sodium hydroxide, panthenol, tetrasodium edta, guar hydroxypropyltrimonium chloride, hexyl cinnamal, histidine;https://www.hebe.pl/pantene-szampon-do-wlosow-przetluszczajacy-sie-400ml-000000000000238929.html;normalne;normalna;srednia
15;Yolyn WOW;24;aqua, sodium coco-sulfate, cocamidopropyl betaine, decyl glucoside, sodium chloride, glycerin, limonene, sodium benzoate, potassium sorbate, tetrasodium glutamate diacetate, betaine, trehalose, citrus limon peel oil, citric acid, pinene, tilia tomentosa bud extract;https://www.hebe.pl/yolyn-szampon-gleboko-oczyszczajacy-do-wlosow-zwiekszajacy-ich-objetosc-450-ml-000000000000582961.html;normalne;normalna;srednia
16;Vichy Dercos DS;93;aqua, sodium laureth sulfate, glycol distearate, coco-betaine, glycerin, dimethicone, selenium sulfide, carbomer, ci 47005, citric acid, menthol, ppg-5-ceteth-20, salicylic acid, sodium benzoate, sodium chloride, sodium hydroxide, tocopheryl acetate, parfum;https://www.hebe.pl/vichy-szampon-do-wlosow-200ml-000000000000302624.html;puszace/suche;tlusta/lupiez;srednia
17;Pharmaceris H H-Sensitonin;50;betaina, alantoina, wyciąg z lnu, d-pantenol, piroktonian olaminy;https://www.hebe.pl/pharmaceris-micelarny-szampon-kojaco-nawilzajacy-do-skory-wrazliwej-250-ml-000000000000225433.html;normalne;normalna;niska
18;Barwa Naturalna;7;aqua, sodium laureth sulfate, cocamidopropyl betaine, cocamide dea, peg-75, lanolin, sodium chloride, cocamidopropylamine oxide, acetum, prunus armeniaca fruit extat, prunus persica fruit extract, pyrus malus fruit extract, biotin, panthenol, linoleic acid, linolenic acid, tocopheryl acetate, retinyl palmitate, bioflavonoids, pyridoxine hcl, propylene glycol, polysorbate 20, polysorbate 80, citric acid, parfum, methylchloroisothiazolinone, methylisothiazolinone;https://www.hebe.pl/barwa-szampon-octowy-do-wlosow-naturalnych-i-matowych-300-ml-000000000000386256.html;normalne;normalna;srednia
19;Alpecin Grey Attack;69;woda, laurylosiarczan sodu, kokoamfooctan sodu, betaina kokamidopropylo, pantenol, kofeina, chlorek sodu, kokoglukozyd, oleinian glicerolu, dioleinian metyloglukozy peg-120, błękit heksanowy nr 2, mentol, polyquaternium-7, dihydroksyindol, kwas cytrynowy, niacynamid, cynk pca, siarczan sodu, fenoksyetanol, benzoesan sodu, zapach, limonen, ci 19140;https://www.hebe.pl/alpecin-szampon-do-wlosow-przeciw-siwieniu-200-ml-000000000000531234.html;normalne;normalna;niska
20;Aromase 5a Juniper Scalp Purifying Liquid Shampoo;89;aqua, lauramidopropyl betaine, glycerin, sodium chloride, sodium lauroyl sarcosinate, alcohol denat, propylene glycol, menthol, butylene glycol, oleth-12, limonene, disodium edta, juniperus communis fruit oil, mentha piperita oil, melaleuca alternifolia leaf oil, rosmarinus officinalis leaf oil, eucalyptus globulus leaf oil, laurus nobilis leaf oil, citrus aurantium bergamia fruit oil, citric acid, panthenol, butyl avocadate, polyquaternium-10, linalool, alcohol, glycolic acid, citrus grandis seed extract, sodium usnate, glycyrrhetinic acid, piroctone olamine, aloe barbadensis leaf juice powder, niacinamide, phenoxyethanol, polygonum multiflorum root extract, thymus vulgaris leaf extract, triethanolamine, serenoa serrulata fruit extract, zingiber officinale root extract, sodium acetate, isopropyl alcohol, tocopherol;https://www.hebe.pl/aromase-peeling---plyn-oczyszczajacy-do-kazdego-typu-skory-glowy-260-ml-000000000000535620.html;krecone/falowane;tlusta/lupiez;srednia
21;Syoss Keratin;19;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, peg-7 glyceryl cocoate, hydrolyzed keratin, dimethicone, sodium benzoate, parfum, citric acid, amodimethicone, guar hydroxypropyltrimonium chloride, hydrogenated castor oil, glycol distearate, laureth-4, peg-40 hydrogenated castor oil, peg-120 methy glucose dioleate, tetramethyl acetyloctahydronaphthalenes, laureth-23, prunus armeniaca kernel oil, trideceth-10, sodium hydroxide, linalool, linalyl acetate, propylene glycol, acetyl cedrene, phenoxyethanol, sodium salicylate;https://www.hebe.pl/syoss-szampon-do-wlosow-lamliwych-i-oslabionych-440-ml-000000000000376888.html;puszace/suche;normalna;wysoka
22;Head&Shoulders Classic Clean;13;aqua, sodium laureth sulfate, sodium xylenesulfonate, cocamidopropyl betaine, sodium citrate, parfum, citric acid, cocamide mea, glycol distearate, piroctone olamine, dimethiconol, sodium chloride, guar hydroxypropyltrimonium chloride, dimethicone, sodium benzoate, tea-dodecylbenzenesulfonate, sodium salicylate, hexyl cinnamal, linalool, tetrasodium edta, sodium hydroxide, trideceth-10, glycerin, niacinamide, panthenol, tocopheryl acetate, acetic acid, benzyl alcohol, triethylene glycol, propylene glycol, ci 42090, ci 17200;https://www.hebe.pl/headshoulders-przeciwlupiezowy-szampon-do-wlosow-do-codziennego-stosowania-90-ml-000000000000502232.html;puszace/suche;tlusta/lupiez;srednia
23;Yope Grow My Hair;34;aqua, lauryl glucoside, coco-glucoside, cocamidopropyl hydroxysultaine, sodium lauroyl sarcosinate, disodium cocoamphodiacetate, disodium lauryl sulfosuccinate, sodium methyl oleoyl taurate, sorbitol, hydroxypropyl guar hydroxypropyltrimonium chloride, gluconolactone, arginine, moringa oleifera seed extract, linum usitatissimum seed extract, helianthus annuus seed oil, persea gratissima oil, glycerin, panthenol, itaconic acid, salvia hispanica seed extract, polyglyceryl-10 laurate, thiamine hcl, pyridoxine, dextran, acetyl tetrapeptide-3, biotin, cyanocobalamin, riboflavin, folic acid, bioflavonoids, ethyl linoleate, ethyl oleate, xylitol, ascorbic acid, citric acid, menadione, parfum, sodium benzoate, potassium sorbate, butylene glycol, 1,2-hexanediol, caprylic acid, tocopherol, tocopheryl acetate, glutathione, citrus aurantium peel oil, hexyl cinnamal, limonene, linalool, tetramethyl acetyloctahydronaphtalenes, benzyl salicylate, coumarin, benzyl alcohol, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate;https://www.hebe.pl/yope-szampon-kuracja-do-wlosow-300-ml-000000000000598518.html;normalne;normalna;srednia
24;Yope Hydrate My Hair;31;aqua, coco glucoside, sodium coco-sulfate, cocamidopropyl betaine, disodium cocoyl glutamate, sorbitol, decyl glucoside, macadamia seed oil polyglyceryl-4 esters, glycerin, levulinic acid, ocimum basilicum extract, cocodimonium hydroxypropyl hydrolyzed wheat protein, sodium cocoyl, potassium cocoyl rice amino acids, guar hydroxypropyltrimonium chloride, sodium levulinate, saponaria officinalis root extract, fructose, fructosyl cocoate, gluconolactone, parfum, citric acid, salicylic acid, lactic acid, sodium benzoate, potassium sorbate, benzyl alcohol, benzyl salicylate, hexyl cinnamal, linalool;https://www.hebe.pl/yope-nawilzajacy-szampon-do-wlosow-300-ml-000000000000420138.html;normalne;tlusta/lupiez;wysoka
25;Mustela Skóra Normalna;48;aqua, coco-glucoside, cocamidopropyl betaine, glycerin, glyceryl stearate, helianthus annuus seed oil, polyglycerin-3 distearate, citric acid, disodium cocoyl glutamate, butyrospermum parkii butter, sclerotium gum, sodium benzoate, glyceryl stearate citrate, parfum, guar hydroxypropyltrimonium chloride, sodium cocoyl glutamate, persea gratissima oil, potassium sorbate;https://www.hebe.pl/mustela-odzywczy-szampon-ulatwiajacy-rozczesywanie-wlosow-200-ml-000000000000576898.html;normalne;normalna;srednia
26;Tołpa Dermo Hair Wypadanie;35;aqua, cocamidopropyl betaine, lauryl glucoside, sodium chloride, parfum, peat extract, hydrolyzed adansonia digitata seed extract, polyquaternium-6, lactic acid, glyceryl caprylate, benzyl alcohol, triethyl citrate, caprylyl glycol, methylpropanediol, benzoic acid, sodium phytate, sodium benzoate, potassium sorbate, ci 75810;https://www.hebe.pl/tolpa-szampon-antipollution-przeciw-wypadaniu-wlosow-250-ml-000000000000376740.html;normalne;normalna;niska
27;Gliss Ultimate Repair;17;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, dimethicone, hydrolyzed keratin, hydrolyzed pearl, peg-7 glyceryl cocoate, parfum, sodium benzoate, amodimethicone, citric acid, guar hydroxypropyltrimonium chloride, hydrogenated castor oil, glycol distearate, laureth-4, peg-120 methyl glucose dioleate, glycerin, laureth-23, trideceth-10, linalool, sodium hydroxide, limonene, phenoxyethanol, propylene glycol, sodium salicylate, potassium sorbate, sorbic acid, benzyl alcohol;https://www.hebe.pl/gliss-kur-szampon-do-wlosow-400ml-000000000000243624.html;puszace/suche;normalna;wysoka
28;Pharmaceris H-Purin;49;aqua, sodium coco-sulfate, decyl glucoside, cocamidopropyl betaine, glycerin, propylene glycol, aloe barbadensis leaf juice, piroctone olamine, allantoin, ciclopirox olamine, epilobium angustifolium extract, polyacrylate crosspolymer-6, guar hydroxypropyltrimonium chloride, citric acid, t-butyl alcohol, sodium benzoate, potassium sorbate, parfum;https://www.hebe.pl/pharmaceris-szampon-przeciwlupiezowy-do-wlosow-250-ml-000000000000411471.html;normalne;tlusta/lupiez;srednia
29;Hairy Tale Cosmetics Hairmoji Sweet Cleans;35;aqua, sodium lauroyl methyl isethionate, coco-glucoside, propanediol, sodium methyl cocoyl taurate, xanthan gum, ocimum basilicum leaf extract, saccharide isomerate, biosaccharide gum-1, polyglyceryl-6 caprylate, polyglyceryl-4 caprate, glycerin, guar hydroxypropyltrimonium chloride, trisodium ethylenediamine disuccinate, benzyl alcohol, sodium benzoate, dehydroacetic acid, citric acid, phenoxyethanol, sodium citrate, sodium chloride, parfum;https://www.hebe.pl/hairy-tale-cosmetics-lagodny-szampon-do-wlosow-240-ml-000000000000484850.html;normalne;normalna;srednia
30;Anwen Pomarańcza&Bergamotka;8;aqua, sodium cocoyl glutamate, caprylyl, decyl glucoside, propanediol, betaine, citric acid, fructose, polyglyceryl, xanthan gum, epilobium parviflorum extract, saponaria officinalis root extract, niacinamide, acacia conocinna fruit extract, balanites aegytiaca fruit extract, gypsophila paniculata root extract, guar hydroxypropyltrimonium chloride, zinc gluconate, sodium benzoate, potassium sorbate, sorbic acid, parfum, benzyl alcohol, hexyl cinnamal, limonene, linalool;https://www.hebe.pl/anwen-delikatny-szampon-do-normalnej-i-przetluszczajacej-sie-skory-glowy-50-ml-000000000000578049.html;normalne;normalna;niska
31;Tołpa Dermo Hair Enzyme;27;aqua, lauryl glucoside, sodium coco-sulfate, glycerin, polyglyceryl-4 caprate, ribes nigrum seed oil, orbignya oleifera seed oil, betaine, peat extract, papain, bromelain, lactobacillus, leuconostoc, hydroxypropyl guar hydroxypropyltrimonium chloride, sodium phytate, lactic acid, parfum, methylpropanediol, benzoic acid, caprylyl glycol;https://www.hebe.pl/tolpa-oczyszczajacy-szampon-do-wlosow-300-ml-000000000000424656.html;normalne;normalna;srednia
32;Plantur 39 Phyto-Caffeine;54;woda, lauryloosiarczen sodu, betaina kokamidopropylowa, gliceryna, chlorek sodu, kofeina, pantenol, glikol propylenowy, glukozyd kokosowy, oleinian glicerolu, polyquaternium-7, cytrynian sodu, hydrolizowane białko pszenicy, kwas cytrynowy, polyquaternium-10, ekstrakt z liści kamelii chińskiej, cynk pca, niacynamid, sorbinian potasu, benzoesan sodu, fenoksyetanol, aromat, heksyl cynamal, limonen, linalool, ci 47005, ci 42090;https://www.hebe.pl/plantur-szampon-do-wlosow-farbowanych-i-zniszczonych-250-ml-000000000000531235.html;krecone/falowane;normalna;niska
33;Ziaja med Kuracja Dermatologiczna;16;aqua, sodium laureth sulfate, cocamidopropyl betaine, undecylenamidopropyl betaine, glycerin, urea, piroctone olamine, guar hydroxypropyltrimonium chloride, allantoin, ceramide np, ceramide ap, ceramide eop, phytosphingosine, cholesterol, sodium lauroyl lactylate, carbomer, xanthan gum, sodium chloride, sodium benzoate, lactic acid;https://www.hebe.pl/ziaja-med-oczyszczajacy-szampon-do-wrazliwej-skory-glowy-i-karku-300-ml-000000000000387538.html;normalne;tlusta/lupiez;srednia
34;Vichy Dercos DS;93;aqua, sodium laureth sulfate, glycol distearate, dimethicone, coco-betaine, glycerin, selenium sulfide, carbomer, citric acid, menthol, ppg-5-ceteth-20, salicylic acid, sodium benzoate, sodium chloride, sodium hydroxide, tocopheryl acetate, parfum;https://www.hebe.pl/vichy-szampon-do-wlosow-200ml-000000000000302622.html;puszace/suche;tlusta/lupiez;srednia
35;Bandi Professional Tricho Esthetic;49;aqua, sodium lauroyl methyl isethionate, cocamidopropyl betaine, glycerin, sodium methyl oleoyl taurate, polysorbate 20, sodium chloride, propylene glycol, coco-glucoside, lauryl glucoside, olive oil peg-7 esters, polyquaternium-53, hydrolyzed silk, allantoin, lactic acid, mentha piperita leaf extract, alpha-glucan oligosaccharide, polynmia sonchifolia root juice, hydroxypropyl cyclodextrin, maltodextrin, lactobacillus, 7-dehydrocholesterol, caprylyl glycol, disodium edta, ethylhexylglycerin, 1,2-hexanediol, hydroxyacetophenone, parfum, phenoxyethanol, potassium sorbate, sodium benzoat;https://www.hebe.pl/bandi-szampon-fizjologiczna-kapiel-do-wlosow-i-skory-glowy-230-ml-000000000000401482.html;normalne;sucha/wrazliwa;srednia
36;Yumi Kids;15;aqua, cocamidopropyl betaine, sodium cocoyl apple amino acids, aloe barbadensis leaf juice, coco-glucoside, glycerin, decyl glucoside, helianthus annus seed oil, tocopheryl acetate, sodium benzoate, xanthan gum, lactic acid, inulin, sodium chloride, tetrasodium edta, hydrolyzed wheat protein, parfum;https://www.hebe.pl/yumi-malinowy-szampon-do-wlosow-dla-dzieci-300-ml-000000000000475078.html;normalne;sucha/wrazliwa;wysoka
37;L'Oréal Paris Elseve Glycolic Gloss;39;aqua, sodium c14-16 olefin sulfonate, cocamide mea, glycerin, cocamidopropyl betaine, glycol distearate, sodium lauroyl sarcosinate, parfum, hexylene glycol, ci 17200, ci 19140, coco-betaine, sodium hydroxide, sodium chloride, sodium benzoate, hydroxpropyl guar hydroxypropyltrimoniumn chloride, hydrox citronellal, peg-55 propylene glycol oleate, salicylic acid, polyquaternium-7, limonene, benzoic acid, linalool, benzyl benzoate, propylene glycol, carbomer, citric acid, hexyl cinnamal, glycolic acid;https://www.hebe.pl/loreal-paris-szampon-do-wlosow-200-ml-000000000000491558.html;normalne;tlusta/lupiez;srednia
38;Tołpa Dermo Hair Podrażnienie;35;aqua, cocamidopropyl betaine, decyl glucoside, disodium cocoamphodiacetate, glycereth-26, hydroxyethyl urea, ceteareth-60 myristyl glycol, sodium chloride, parfum, biosaccharide gum-1, peat extract, disodium edta, citric acid, methylpropanediol, caprylyl glycol, phenoxyethanol, benzoic acid;https://www.hebe.pl/tolpa-nawilzajacy-szampon-do-wlosow-wspierajacy-mikrobiom-250-ml-000000000000376744.html;normalne;normalna;niska
39;L'Oréal Paris Elseve Color-Vive;18;aqua, sodium laureth sulfate, glycol distearate, sodium chloride, cocamidopropyl betaine, dimethicone, parfum, guar hydroxypropyltrimoniuim chloride, cocamide mea, coco-betaine, ascorbyl glucoside, sodium benzoate, sodium hydroxide, hydroxycitronellal, steareth-6, phenoxyethanol, acetic acid, peg-100 stearate, ethylhexyl salicylate, tridecth-10, tridecth-3, salicylic acid, limonene, fumaric acid, linalool, amodimethicone, carbomer, citric acid, hexylene glycol, hexyl cinnamal;https://www.hebe.pl/loreal-paris-szampon-ochronny-do-wlosow-400-ml-000000000000213734.html;puszace/suche;tlusta/lupiez;niska
40;Hair Of The Day By Only Bio;16;aqua, sodium cocoyl isethionate, sodium cocoyl sarcosinate, disodium laureth sulfosuccinate, decyl glucoside, disodium cocoamphodiacetate, zingiber officinale root extract, papain, maltodextrin, cyperus esculentus tuber extract, xanthan gum, lauroyl lysine, citric acid, sodium chloride, glycerin, sodium hydroxide, sodium benzoate, potassium sorbate, benzyl alcohol, ci 51319, parfum;https://www.hebe.pl/hair-of-the-day-szampon-do-wlosow-oczyszczenie-300-ml-000000000000536096.html;normalne;normalna;srednia
41;Hebe Naturals Deep Clean Shampoo;19;aqua, sodium coco-sulfate, decyl glucoside, cocamidopropyl betaine, glycerin, lauryl glucoside, inulin, 4-terpineol, salicylic acid, salix alba bark extract, methylpropanediol, citrus grandis fruit extract, parfum, citric acid, sodium benzoate, potassium sorbate, hexyl cinnamal, limonene, linalool;https://www.hebe.pl/hebe-naturals-gleboko-oczyszczajacy-szampon-do-wlosow-i-skory-glowy-400-ml-000000000000459302.html;normalne;tlusta/lupiez;srednia
42;Dermedic Capilarte;59;aqua, sodium laureth sulfate, cocamidopropyl betaine, coco-glucoside, glycerin, polyquaternium-7, peg-7 glyceryl cocoate, piroctone olamine, clotrimazole, zinc undecylenate, lactitol, xylitol, panthenol, styrene, acrylates copolymer, iodopropynyl butylcarbamate, guar hydroxypropyltrimonium chloride, citric acid, parfum, sodium chloride;https://www.hebe.pl/dermedic-szampon-zwalczajacy-lupiez-jego-przyczyny-300ml-000000000000303800.html;normalne;tlusta/lupiez;srednia
43;Radical Wzmacniający;11;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, glycerin, equisetum arvense leaf extract, arginine, panthenol, hydroxypropyl guar hydroxypropyltrimonium chloride, lactic acid, citric acid, potassium sorbate, sodium benzoate, disodium edta, parfum, hexyl cinnamal;https://www.hebe.pl/radical-wzmacniajacy-szampon-do-wlosow-oslabionych-i-wypadajacych-400-ml-000000000000308976.html;normalne;normalna;srednia
44;Syoss Anti-Dandruff;19;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, hydrolyzed keratin, piroctone olamine, centella asiatica leaf extract, parfum, sodium benzoate, coco glucoside, citric acid, glyceryl oleate, peg-7 glyceryl cocoate, glyco distearate, laureth-4, peg-120 methyl glucose dioleate, hydroxypropyl guar hydroxypropyltrimonium chloride, hydrogenated castor oil, glycerin, limonene, benzyl salicylate, tetramethyl acetyloctahydronaphthalenes, citronellol, sodium hydroxide, butylene glycol, propylene glycol, phenoxyethanol, potassium sorbate;https://www.hebe.pl/syoss-szampon-do-wlosow-przeciwlupiezowy-meski-440-ml-000000000000412111.html;normalne;tlusta/lupiez;wysoka
45;Tołpa Hair Rituals;29;aqua, lauryl glucoside, sodium coco-sulfate, betaine, peat extract, amethyst powder, glycerin, sodium phytate, hyaluronic acid, xanthan gum, xylitol, citric acid, lactic acid, parfum, dicaprylyl ether, decyl glucoside, glyceryl oleate, methylpropanediol, benzoic acid, caprylyl glycol, potassium sorbate, sodium benzoate, ci 75810, benzyl salicylate, linalool;https://www.hebe.pl/tolpa-szampon-chelatujacy-do-wlosow-300-ml-000000000000474646.html;normalne;normalna;srednia
